EVEN_NM,EVENT_TME_DC,EVEN_BGN_DT,EVEN_END_DT,HSTN_INSTT_NM,EVEN_PLAC_NM,EVENT_DETAIL_DC
마한민속예술제,,1999-05-07,1999-05-10,익산시,익산시일원,"마한제례, 국극공연, 민속 놀이, 사물놀이경연"
오태석 연극제,,1999-05-07,1999-07-04,,,극단 목화 주관. 전용극장 아룽구지
낙안문화축제,,1999-05-08,1999-05-08,순천문화원,순천문화원,"민속놀이마당, 청소년 농악경연대회"
제25회 보성다향제,,1999-05-09,1999-05-10,보성 다향제주진위원회,전남 보성군 보성체육 공원,
제20회 담양군민의 날 공연,,1999-05-10,1999-05-10,전남담양군,담양군민회관,전남도립국악단 공연
갑오 동학혁명 기념문화제,,1999-05-10,1999-05-11,갑오동학혁명기념사업회,천변고수부지,"황토현제례 , 동학민속놀이"
제22회 속리산 축제,,1999-05-20,1999-05-20,보은군,봉은군일대 .,시조경창대회
’99 춘천국제마임축제,,1999-05-27,1999-05-30,,,춘천문예회관등
진주탈춤한마당,,1999-05-28,1999-05-29,진주탈춤 한마당 실행위원회,진주 야외공연장,"탈춤 강습, 탈전시회"
제1회부산 낙동강 축제,,1999-05-28,1999-06-06,부산 낙동강 축제위원회,낙동강 하구언과 을쑥도 일원,"국악 한마당, 농악공연 등"
제10회 서울인형극제,,1999-05-28,1999-05-30,,,서울인형극보급회. 문예회관 등
수원화성국제연극제,,1999-05-28,1999-06-05,,,달판춤『두타』등 국내외. 수원화성 연무대
경기도립국악단 영주 소백산축제 국악공연,,1999-05-29,1999-05-29,,영주 소백산 야외무대,"축제, 경기민요, 고구려혼 외"
비목문화제,,1999-06-04,1999-06-06,화천문화원,강원도 화천읍 비목마을,"길놀이, 추모제 외"
행주문화제,,1999-06-04,1999-06-06,,경기 고양시 행주산성,"고양시청 주관, 승전국악대향연"
경기도립국악단 화성 국제연극제 국악공연,,1999-06-05,1999-06-05,,화성 특병무대,"축제, 경기민요, 여행 외"
제1회 중북제주문화교류,,1999-06-05,1999-06-07,,,충북제주문화교류추진위원회. 청주 예술의 전당
제17회 전국연극제,,1999-06-09,1999-06-25,"문예진흥원, 한국연극협회",,청주 예술의 전당
제1회 창작단막극제,,1999-06-10,1999-07-04,극단 열린무대,,열린소극장
’99 서울 단오민속축제,,1999-06-12,1999-06-13,서울시 문화과,서울보라매공원,단오공연마당
’99 우수마당극 퍼레이드,,1999-06-12,1999-06-27,,,서울놀이마당
강릉단오제,,1999-06-16,1999-06-20,강릉단오제위원회,강원 강릉시 일대,"시조경창대회 , 풍물농악경연대회, 단오굿 외"
갑천문화제,,1999-06-17,1999-06-19,대전 서구문화원,대전 갑천일대,
제2회 한일아트페스티벌,,1999-07-01,1999-07-06,,,씨어터제로 기획
오태석 연극제 2,,1999-07-06,1999-07-00,,,극단 목화. 전용극장 아룽구지
대한민국국악대전,,1999-07-08,1999-07-11,한국국악협회,"문예회관, 마로니에공원",한국국악협회
삼동굿놀이,,1999-07-15,1999-07-15,삼동굿 보존회,전북 남원 보절면 괴양리,삼동굿 보존회
공포연극제,,1999-07-15,1999-08-22,,,혜화동1번지 2기 동인공연. 연극실험실
’99 경포 여름바다 예술제,,1999-07-17,1999-08-15,강릉시청 문화체육과,강원 경포대 해수욕장 일원,강릉시청 문화체육과
한여름밤의 해변축제,,1999-07-20,1999-08-30,제주시,제주시 해변공연장,제주시
서울국제어린이공연예술제,,1999-07-22,1999-08-22,,,"『놀이는 즐겁다』외. 예술의전당, 바탕골소극장 등"
’99 대학로 문화축제,,1999-07-28,1999-08-01,대학로문화주친위,서울 종로구 마로니에 공원,대학로문화주친위
강화 고인돌 문화축제,,1999-07-30,1999-08-04,고인돌 축제추진위원회,강화군 하점면 부근리 고인돌 광장,"해외 민속공연단 공연, 민속공연"
영월 동강뗏목축제,,1999-07-31,1999-08-01,영월군,강원 동강일원,민속놀이
해운대 죽제,,1999-08-01,1999-08-05,해운대지구 번영회,해운대 백사장,별신굿
’99 기장 갯마을 마당극축제,,1999-08-01,1999-08-04,"기장군, 기장문화원, 한국연극협회 부산지회",,
’99 부산바다축제,,1999-08-02,1999-08-04,부산축제문화진흥회,다대포 해수욕장,전통예술한마당
제11회 거창국제연극제,,1999-08-02,1999-08-15,,,"입체예술극장, 수승대 야외극장 등"
강진청자문화제,,1999-08-07,1999-08-15,강진군,대구청자촌 일대,
전남도립 국악단 한중청소년 교류행사,,1999-08-09,1999-08-09,전남 체육청소년과,광주파레스호텔,남도민요 외
’99 제주해양축제,,1999-08-11,1999-08-14,제주축제문화연구원,제주 이호해수욕장,민속공연
제4회 삼척종합예술제,,1999-08-12,1999-08-13,한국예총삼척지부,삼척죽석루 일대,
춘천인형극제,,1999-08-12,1999-08-14,,,"사다리 외. 춘천문예회관, 어린이회관 인형극장 등"
제4회 강진청자 문화제 죽제,,1999-08-13,1999-08-13,전남강진군,전남강진청자촌 특설무대,전남도립국악단 공연
제5회 만해제,,1999-08-14,1999-08-14,홍주문화원,홍주문화회관,
’99 부산소극장페스티벌,,1999-08-21,1999-08-29,,,부산연극협회 후원. 부산문화회관 등
제3회 전북청소년연극제,,1999-08-25,1999-08-31,,,원광여고 외. 전북연극협회 . 전북문예회관
제4회 화성 백중제,,1999-08-28,1999-08-29,(사) 화성문화보존회,"수원화성일대, 장안공원",화성백중제
담양 창평면 경로위안잔치,,1999-08-29,1999-08-29,강진군,창평 5일시장 공터,전남도립국악단 공연
제8회 경기도청소년연극제,,1999-08-29,1999-08-31,,,파주종고 외. 경기도연극협회 . 경기도 문화예술회관
제3회 무안연꽃축제,,1999-08-31,1999-08-31,무안군,화산연꽃방죽특설무대,전남도립국악단 공연
’99 단봉예술제,,1999-08-31,1999-09-05,,화성군 서신면 문화예술 촌쟁이골,"사물놀이 공연, 청소년관현악단 공연 외"
’99 서울연극제,,1999-09-02,1999-10-31,,,"문예회관, 마로니에공원 아외무대 등"
한산대첩 축제,,1999-09-03,1999-10-03,통영시,거제문화마당,"길놀이, 전통예술공연"
제4회 공주 아시아1인극제,,1999-09-03,1999-09-05,,,"무세중 외 . 공주민속박물관, 고마나루 야외무대 등"
중국여 행사 초청 전남관광지 답사행사,,1999-09-05,1999-09-05,전라남도,광주그랑프리호텔,전남도립국악단 공연
제12회 전국민족극한마당,,1999-09-06,1999-09-12,,,전국민족극운동협희회 . 대구 대덕문화전당
제1회 영광수산물 및 포도축제,,1999-09-07,1999-09-07,광양군,전남 영광염산복지회관 광장,전남도립국악단 공연
아시아 소극장네트워크 페스티벌,,1999-09-07,1999-09-21,,,경성대 멀티미디어 소극장. 싱가포르 극단 외 3개 외국 극단 참가
’99 춘천 국제연극제,,1999-09-08,1999-09-10,,,"네덜란드, 벨기에 등 9개국 12단체 참가"
영 • 호남 노사한마음 축제행사,,1999-09-09,1999-09-09,전라남도,전남 담양가막골 야영장,전남도립국악단 공연
’99 과천 세계공연예술제,,1999-09-09,1999-09-18,,,"과천시민회관, 정부과천청사 앞 잔디마당 등"
앙성온천축제,,1999-09-10,1999-09-12,충주시,충북충주시 양성온천 지구 일원,온천기원제 및 성주굿
과천축제,,1999-09-10,1999-09-19,과천문화원,경기과천시 과천시 일원,"시조경창대회 , 풍물놀악경연대회 , 학생 농악경연대회"
’99 강원 국제관광엑스포,,1999-09-11,1999-10-30,,강원도 속초시 청초호 일원,강원도국제 관광박람회 조직위원회
제2회 여수 국제연극제,,1999-09-11,1999-09-20,,,전남문예회관등
제13회 천안삼거리문화제,,1999-09-12,1999-09-20,,천안일대,천안시 문화 예술선양 위원회
제10회 광주 학생연극제,,1999-09-12,1999-09-16,,,광주여고 외. 광주시민회관 등
제40회 한국민속예술축제,,1999-09-15,1999-09-17,제주시,제주 애향운동장,
목포도자기축제,,1999-09-15,1999-09-19,목포도자기축제위원회,목포 갓바위 문화의 거리,"민속공연, 무용, 다도시연"
’99 우수국악교육공모제,,1999-09-17,1999-09-17,,국립국악원 우면당,국립국악원
제24회 소가야 문화제,,1999-09-30,1999-10-02,고성군,고성읍일원,"농악공연, 민속행사"
한밭문화제,,1999-09-30,1999-10-05,한밭문화제 추진위원회,엑스포 과학공원외,민속예술경연대회
제1회 국악인 국악로 대축제,,1999-09-31,1999-09-31,종로구,서울 종가3가-창덕궁 사이,
채만식 연극제,,1999-10-01,1999-10-14,,,『가죽버선』외. 사람세상소극장
강도문화제,,1999-10-01,1999-10-03,강화군,인천강화군 강화읍 문예 회관,농악경연대회 외
제24회 아리랑제,,1999-10-01,1999-10-03,정선군,정선 공설운동장,
아림 예술제,,1999-10-01,1999-10-03,아림예술추진위원회,거창읍일원,거창삼베일소리 공연
난계 예술제,,1999-10-01,1999-10-04,영동군,영동읍 부용리,
한밭문화제,,1999-10-01,1999-10-13,대전중구문화원,대전시민회관,"민속예술경연대회 , 전국농악경연대회"
오성문화제,,1999-10-02,1999-10-03,군산시,오성산,오성인제례
대가야축제,,1999-10-02,1999-10-05,고령문화원,경북고령군 고령읍 지산리,"국악인초청공연, 전국 가야금경연대회"
안동국제탈춤페스티벌,,1999-10-02,1999-10-10,,안동하회마을,안동국제탈춤페스티벌 조직위원회
경기종합예술제,,1999-10-03,1999-10-07,,용인문화회관,국악의 향연 외
’99 경기연극제,,1999-10-03,1999-10-07,,,경기도연극협회 주관. 용인문예회관 등
’99 젊은연극제,,1999-10-05,1999-11-14,,,예술극장 활인
전남도립국악단 영광군민의 말 축하공연,,1999-10-06,1999-10-06,영광군,영광읍 백화로 특설무대,남도민요 외
괴산문화제,,1999-10-06,1999-10-08,,충북 괴산읍 일원,"괴산문화원, 백중놀이"
