RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,SU_TOUR_INTRST_VALUE,GG_IC_TOUR_INTRST_VALUE,BS_TOUR_INTRST_VALUE,CHN_DJ_TOUR_INTRST_VALUE,CB_TOUR_INTRST_VALUE,GN_US_TOUR_INTRST_VALUE,GB_DG_TOUR_INTRST_VALUE,JN_GJ_TOUR_INTRST_VALUE,JNBK_TOUR_INTRST_VALUE,GW_TOUR_INTRST_VALUE,JJ_TOUR_INTRST_VALUE
53365607,20220829,F,60대,전라북도,700만원 이상,약간 커졌다,많이 적어졌다,많이 적어졌다,많이 적어졌다,많이 적어졌다,많이 적어졌다,많이 적어졌다,약간 적어졌다,많이 커졌다,예전과 비슷하다,많이 커졌다
53367289,20220829,F,60대,인천광역시,300만원 미만,예전과 비슷하다,예전과 비슷하다,많이 적어졌다,약간 적어졌다,예전과 비슷하다,약간 커졌다,많이 적어졌다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,많이 커졌다
53367625,20220829,M,30대,경기도,700만원 이상,약간 커졌다,많이 적어졌다,많이 커졌다,약간 적어졌다,약간 적어졌다,예전과 비슷하다,약간 커졌다,많이 커졌다,많이 적어졌다,많이 커졌다,많이 적어졌다
53367652,20220829,M,20대,인천광역시,500이상700만원 미만,약간 적어졌다,많이 적어졌다,약간 커졌다,많이 적어졌다,약간 커졌다,많이 커졌다,약간 커졌다,많이 커졌다,많이 커졌다,약간 커졌다,많이 커졌다
53367767,20220829,M,60대,경기도,500이상700만원 미만,예전과 비슷하다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,약간 커졌다
53368505,20220829,M,40대,서울특별시,500이상700만원 미만,예전과 비슷하다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,약간 커졌다,약간 커졌다,예전과 비슷하다
53368525,20220829,F,60대,경상북도,300이상500만원 미만,예전과 비슷하다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,약간 적어졌다,예전과 비슷하다,예전과 비슷하다,약간 적어졌다
53369005,20220829,F,50대,인천광역시,300이상500만원 미만,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다
53369006,20220829,F,50대,서울특별시,700만원 이상,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,많이 적어졌다,많이 적어졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,약간 커졌다
53369916,20220829,M,30대,경기도,500이상700만원 미만,약간 커졌다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,많이 커졌다
53369947,20220829,M,20대,충청북도,모름,많이 커졌다,약간 커졌다,예전과 비슷하다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,예전과 비슷하다
53369960,20220829,F,50대,충청남도(세종시 포함),500이상700만원 미만,예전과 비슷하다,예전과 비슷하다,많이 커졌다,많이 적어졌다,약간 적어졌다,예전과 비슷하다,약간 커졌다,약간 적어졌다,약간 적어졌다,많이 커졌다,많이 커졌다
53370053,20220829,F,40대,경기도,300만원 미만,많이 적어졌다,많이 적어졌다,많이 커졌다,많이 적어졌다,예전과 비슷하다,많이 적어졌다,약간 커졌다,많이 커졌다,많이 적어졌다,예전과 비슷하다,많이 커졌다
53370430,20220829,F,50대,경상남도,300이상500만원 미만,예전과 비슷하다,약간 적어졌다,예전과 비슷하다,약간 적어졌다,약간 적어졌다,약간 적어졌다,많이 적어졌다,약간 적어졌다,많이 적어졌다,약간 커졌다,약간 커졌다
53372979,20220829,F,40대,대전광역시,300이상500만원 미만,약간 커졌다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다
