"CTPRVN_NM","SIGNGU_NM","SIGNGU_CD","RESIDNT_2030_CNT","IBLLBR_FCLT_CNT","MUSEUM_FCLT_CNT","ARTGR_FCLT_CNT","PRFPLC_FCLT_CNT","FCLT_CNT","IBLLBR_RATE","MUSEUM_RATE","ARTGR_RATE","PRFPLC_RATE","FCLT_RATE","FILE_NAME","BASE_YMD"
"경기도","부천시 원미구","11380","195175","10","0","0","0","10","0.00005123607019341600","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00005123607019341600","KC_600_MIL_CLT_STATN_BIZAEA_2020","20201231"
"경기도","성남시","41135","269520","0","2","4","1","7","0.00000000000000000000","0.00000742059958444642","0.00001484119916889280","0.00000371029979222321","0.00002597209854556300","KC_600_MIL_CLT_STATN_BIZAEA_2020","20201231"
"경기도","성남시 분당구","41135","111436","7","0","0","0","7","0.00006281632506550800","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00006281632506550800","KC_600_MIL_CLT_STATN_BIZAEA_2020","20201231"
"경기도","성남시 수정구","41131","57381","3","0","0","0","3","0.00005228211428870200","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00005228211428870200","KC_600_MIL_CLT_STATN_BIZAEA_2020","20201231"
"경기도","성남시 중원구","41133","49531","3","0","0","0","3","0.00006056812905049400","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00006056812905049400","KC_600_MIL_CLT_STATN_BIZAEA_2020","20201231"
"경기도","수원시","41117","365710","0","7","2","3","12","0.00000000000000000000","0.00001914084930682780","0.00000546881408766509","0.00000820322113149764","0.00003281288452599100","KC_600_MIL_CLT_STATN_BIZAEA_2020","20201231"
"경기도","수원시 권선구","41113","82630","7","0","0","0","7","0.00008471499455403600","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00008471499455403600","KC_600_MIL_CLT_STATN_BIZAEA_2020","20201231"
"경기도","수원시 영통구","41117","77451","8","0","0","0","8","0.00010329111309085700","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00010329111309085700","KC_600_MIL_CLT_STATN_BIZAEA_2020","20201231"
"경기도","수원시 장안구","41111","64050","5","0","0","0","5","0.00007806401249024200","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00007806401249024200","KC_600_MIL_CLT_STATN_BIZAEA_2020","20201231"
"경기도","수원시 팔달구","41115","48361","6","0","0","0","6","0.00012406691342197200","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00012406691342197200","KC_600_MIL_CLT_STATN_BIZAEA_2020","20201231"
